,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price
0,10,1,3,10,4,1,0,1024,1,64,0,1,0,0,0,34649
1,20,1,3,10,4,1,0,1024,1,64,0,1,0,0,0,38999
2,20,1,3,10,4,1,0,1024,1,64,0,1,0,0,0,39999
3,10,1,5,10,8,1,512,0,1,32,2,1,0,0,0,69990
4,10,1,1,0,4,1,0,512,1,64,0,1,0,0,0,26990
5,10,1,1,0,4,1,0,512,1,64,0,1,0,0,0,22990
6,10,1,1,0,4,1,0,512,1,32,0,1,0,0,0,21990
7,10,1,5,10,8,1,0,1024,1,32,2,1,0,0,0,58799
8,20,1,5,10,4,1,0,1024,1,32,0,1,0,0,0,49999
9,30,2,6,10,4,1,0,512,1,32,4,1,0,0,0,59990
10,30,2,6,10,4,1,0,512,1,32,6,1,0,0,0,93700
11,30,2,6,10,4,1,0,512,1,32,4,1,0,0,0,72990
12,40,1,1,0,4,1,0,512,1,64,0,1,0,0,0,17490
14,10,1,3,11,4,1,256,0,1,64,0,1,0,0,0,35990
15,50,1,3,11,8,1,256,0,1,64,0,1,1,1,0,56490
16,50,1,5,11,8,1,256,0,1,64,0,1,1,0,0,65390
17,20,1,1,0,4,1,256,0,1,64,0,2,0,0,0,31999
18,50,1,1,0,8,1,256,0,1,64,0,2,0,0,0,32490
19,20,1,1,0,4,1,256,0,1,64,0,2,0,0,0,31799
20,10,1,1,0,4,1,256,0,1,64,0,1,0,0,0,29890
21,10,1,1,0,4,1,0,1024,1,64,0,1,1,0,0,23990
22,50,1,3,7,4,1,0,1024,1,64,0,1,0,0,0,32955
23,50,1,5,7,4,1,0,1024,1,32,2,1,0,0,0,46200
24,10,1,3,11,4,1,256,0,1,64,0,2,0,0,0,34429
25,20,1,3,10,8,1,256,0,1,32,0,2,2,0,1,37990
26,10,1,3,11,4,1,256,0,1,32,0,1,1,0,1,35990
27,10,1,3,10,8,1,256,0,1,64,0,2,0,0,0,33980
28,50,1,3,11,8,1,256,0,1,64,0,2,1,0,1,39990
29,60,1,3,10,8,1,256,0,1,64,0,2,1,0,1,39490
30,50,1,3,11,8,1,256,0,1,64,0,1,1,1,1,53990
31,30,1,3,11,8,1,256,0,1,64,0,2,1,0,0,38990
32,10,1,3,11,8,1,256,0,1,64,0,2,1,0,0,37990
33,10,1,3,11,8,1,256,0,1,64,0,1,1,0,1,37890
34,20,1,3,11,8,1,256,0,1,64,0,2,1,0,0,38990
35,20,1,3,10,8,1,256,0,1,64,0,2,0,0,0,37990
36,60,1,3,11,8,1,256,0,1,64,0,2,1,0,1,41990
37,10,1,3,11,8,1,256,0,1,64,0,1,1,0,0,45990
38,20,1,3,11,8,1,256,0,1,64,0,2,1,0,0,39990
39,60,1,3,11,8,1,256,0,1,64,0,2,0,0,0,42490
40,60,1,3,10,4,1,256,0,1,64,0,2,1,0,1,36990
41,20,1,3,11,8,1,256,0,1,64,0,1,1,1,1,53990
42,10,1,3,11,8,1,256,0,1,64,0,2,0,0,0,36990
43,20,1,3,10,4,1,256,0,1,64,0,1,2,0,0,38940
44,60,1,3,10,4,1,256,0,1,64,0,1,1,0,1,39490
46,20,1,3,10,8,1,256,0,1,64,0,1,2,0,1,39999
47,60,1,3,11,8,1,256,0,1,64,0,2,1,0,0,42990
48,60,1,3,11,8,1,256,0,1,64,0,1,1,1,0,49990
49,60,1,3,11,8,1,256,0,1,64,0,2,1,0,1,41490
50,60,1,3,11,8,1,256,0,1,64,0,2,0,0,0,41990
51,20,1,3,11,8,1,256,0,1,64,0,2,1,0,1,41990
52,10,1,3,11,8,1,256,0,1,64,0,1,1,0,0,38490
53,20,1,3,11,4,1,256,0,1,64,0,2,1,0,1,38990
54,20,1,3,11,4,1,256,0,1,64,0,1,1,0,1,44990
55,20,1,3,10,4,1,256,0,1,64,0,2,0,0,0,36490
56,20,1,3,10,8,1,256,0,1,32,0,1,0,0,0,38970
57,50,1,3,11,4,1,256,0,1,64,0,2,1,0,1,44900
58,70,1,3,10,4,1,256,0,1,64,0,2,0,0,0,38990
59,60,1,3,11,4,1,256,0,1,64,0,2,0,0,0,44427
60,10,1,3,10,4,1,256,0,1,64,0,1,1,0,0,35990
61,20,1,3,10,4,1,256,0,1,64,0,1,1,0,1,40200
62,20,1,3,10,4,1,256,0,1,32,0,1,0,0,0,40990
63,60,1,3,10,4,1,256,0,1,64,0,2,1,0,0,42490
64,30,1,1,0,4,1,0,512,1,32,0,1,0,0,0,23990
65,60,1,3,11,4,1,256,0,1,64,0,1,0,1,0,71999
66,10,1,3,11,4,1,256,0,1,64,0,1,1,0,0,39990
67,20,1,3,10,4,1,256,0,1,64,0,1,1,0,1,41998
68,10,1,3,11,4,1,256,0,1,32,0,1,0,0,0,41990
69,20,1,3,10,4,1,256,0,1,64,0,1,2,0,1,39999
70,10,1,3,10,4,1,256,0,1,32,0,1,0,0,0,39990
71,20,1,3,11,4,1,256,0,1,64,0,1,0,0,0,39998
72,50,1,3,11,4,1,256,0,1,64,0,2,1,0,1,42490
73,20,1,3,10,4,1,256,0,1,32,0,1,0,0,0,41990
74,10,1,3,11,4,1,256,0,1,32,0,1,0,0,0,48490
75,50,1,3,11,4,1,256,0,1,64,0,2,1,0,1,44376
76,60,1,3,11,4,1,256,0,1,32,0,1,0,0,0,43900
77,60,1,3,11,4,1,256,0,1,64,0,1,1,0,0,46690
79,60,1,3,10,4,1,256,0,1,64,0,2,1,0,0,39990
80,20,1,3,11,4,1,256,0,1,64,0,2,0,0,0,43990
81,10,1,3,11,4,1,256,0,1,64,0,2,1,0,0,36990
82,60,1,3,11,8,1,256,0,1,64,0,1,1,0,0,48500
83,10,1,3,11,8,1,256,0,1,64,0,1,0,0,0,48990
84,10,1,1,0,4,2,0,512,1,32,0,1,0,0,0,23490
85,50,1,3,8,4,1,256,0,1,64,0,1,1,1,1,54238
86,10,1,3,10,8,1,512,0,1,64,0,1,1,0,0,37990
87,50,1,3,11,8,1,512,0,1,64,0,2,1,0,1,42990
89,10,1,3,10,4,1,512,0,1,64,0,1,1,0,0,35990
90,10,1,3,11,8,1,512,0,1,64,0,1,1,0,0,42990
91,10,1,3,11,8,3,512,0,1,32,0,1,1,1,1,51990
92,10,1,3,11,8,1,512,0,1,64,0,1,1,0,0,48990
94,20,1,3,10,8,1,512,0,1,64,0,2,1,0,0,38990
95,60,1,3,11,8,1,512,0,1,64,0,2,0,0,0,45990
96,50,1,3,10,8,1,512,0,1,64,0,2,1,0,1,42490
97,50,1,3,11,8,1,512,0,1,64,0,2,1,0,1,43970
98,10,1,3,10,4,1,512,0,1,64,0,2,1,0,1,39990
99,70,1,3,11,8,1,512,0,1,64,0,2,0,0,0,48990
100,50,1,3,11,8,1,512,0,1,64,0,1,1,0,1,54990
101,70,1,3,10,8,1,512,0,1,64,0,2,0,0,0,40990
102,10,1,3,11,8,1,512,0,1,64,0,2,1,0,1,41990
103,20,1,3,11,8,1,512,0,1,64,0,2,1,1,0,54990
104,10,1,3,11,8,1,512,0,1,64,0,1,1,0,1,44990
105,50,1,3,11,8,1,512,0,1,64,0,1,1,0,0,41250
106,50,1,3,11,8,1,512,0,1,64,0,2,0,0,0,44990
108,60,1,3,11,8,1,512,0,1,64,0,1,1,1,0,60790
109,50,1,3,11,8,1,512,0,1,64,0,1,0,0,0,45650
110,60,1,3,10,8,1,512,0,1,64,0,2,1,0,1,41990
111,60,1,3,10,8,1,512,0,1,64,0,2,1,0,0,45490
112,10,1,3,11,8,1,512,0,1,64,0,2,1,0,1,44990
113,20,1,3,11,8,1,512,0,1,64,0,2,2,0,1,42990
114,50,1,3,11,4,1,512,0,1,64,0,2,1,0,1,45490
115,50,1,3,10,4,1,512,0,1,32,0,1,0,0,0,38799
116,50,1,3,11,4,1,512,0,1,64,0,1,1,1,1,69267
117,10,1,3,11,4,1,512,0,1,64,0,1,1,0,1,51649
118,50,1,3,11,4,1,512,0,1,64,0,2,1,0,1,47990
